material_id,cif,formula,avg_volume,T
mp-5832,"# generated using pymatgen
data_Li2Ge7O15
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.38836870
_cell_length_b   9.74004404
_cell_length_c   16.78648787
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Li2Ge7O15
_chemical_formula_sum   'Li8 Ge28 O60'
_cell_volume   1208.00663966
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50000000  0.75000000  0.74046256  1
  Li  Li1  1  0.00000000  0.25000000  0.75953744  1
  Li  Li2  1  0.50000000  0.25000000  0.25953744  1
  Li  Li3  1  0.00000000  0.75000000  0.24046256  1
  Li  Li4  1  0.00000000  0.50000000  0.50000000  1
  Li  Li5  1  0.50000000  0.50000000  0.00000000  1
  Li  Li6  1  0.50000000  -0.00000000  0.00000000  1
  Li  Li7  1  0.00000000  -0.00000000  0.50000000  1
  Ge  Ge8  1  0.71436917  0.02845959  0.65554207  1
  Ge  Ge9  1  0.21436917  0.97154041  0.84445793  1
  Ge  Ge10  1  0.78563083  0.52845959  0.84445793  1
  Ge  Ge11  1  0.28563083  0.47154041  0.65554207  1
  Ge  Ge12  1  0.28563083  0.97154041  0.34445793  1
  Ge  Ge13  1  0.78563083  0.02845959  0.15554207  1
  Ge  Ge14  1  0.21436917  0.47154041  0.15554207  1
  Ge  Ge15  1  0.71436917  0.52845959  0.34445793  1
  Ge  Ge16  1  0.71701621  0.46725577  0.65965065  1
  Ge  Ge17  1  0.21701621  0.53274423  0.84034935  1
  Ge  Ge18  1  0.78298379  0.96725577  0.84034935  1
  Ge  Ge19  1  0.28298379  0.03274423  0.65965065  1
  Ge  Ge20  1  0.28298379  0.53274423  0.34034935  1
  Ge  Ge21  1  0.78298379  0.46725577  0.15965065  1
  Ge  Ge22  1  0.21701621  0.03274423  0.15965065  1
  Ge  Ge23  1  0.71701621  0.96725577  0.34034935  1
  Ge  Ge24  1  0.78543761  0.25107628  0.94113717  1
  Ge  Ge25  1  0.28543761  0.74892372  0.55886283  1
  Ge  Ge26  1  0.71456239  0.75107628  0.55886283  1
  Ge  Ge27  1  0.21456239  0.24892372  0.94113717  1
  Ge  Ge28  1  0.21456239  0.74892372  0.05886283  1
  Ge  Ge29  1  0.71456239  0.25107628  0.44113717  1
  Ge  Ge30  1  0.28543761  0.24892372  0.44113717  1
  Ge  Ge31  1  0.78543761  0.75107628  0.05886283  1
  Ge  Ge32  1  0.50000000  0.75000000  0.91315144  1
  Ge  Ge33  1  0.00000000  0.25000000  0.58684856  1
  Ge  Ge34  1  0.50000000  0.25000000  0.08684856  1
  Ge  Ge35  1  0.00000000  0.75000000  0.41315144  1
  O  O36  1  0.85822371  0.33265870  0.50698622  1
  O  O37  1  0.35822371  0.66734130  0.99301378  1
  O  O38  1  0.64177629  0.83265870  0.99301378  1
  O  O39  1  0.14177629  0.16734130  0.50698622  1
  O  O40  1  0.14177629  0.66734130  0.49301378  1
  O  O41  1  0.64177629  0.33265870  0.00698622  1
  O  O42  1  0.35822371  0.16734130  0.00698622  1
  O  O43  1  0.85822371  0.83265870  0.49301378  1
  O  O44  1  0.85565261  0.09151005  0.58234082  1
  O  O45  1  0.35565261  0.90848995  0.91765918  1
  O  O46  1  0.64434739  0.59151005  0.91765918  1
  O  O47  1  0.14434739  0.40848995  0.58234082  1
  O  O48  1  0.14434739  0.90848995  0.41765918  1
  O  O49  1  0.64434739  0.09151005  0.08234082  1
  O  O50  1  0.35565261  0.40848995  0.08234082  1
  O  O51  1  0.85565261  0.59151005  0.41765918  1
  O  O52  1  0.50116554  0.40408991  0.64056663  1
  O  O53  1  0.00116554  0.59591009  0.85943337  1
  O  O54  1  0.99883446  0.90408991  0.85943337  1
  O  O55  1  0.49883446  0.09591009  0.64056663  1
  O  O56  1  0.49883446  0.59591009  0.35943337  1
  O  O57  1  0.99883446  0.40408991  0.14056663  1
  O  O58  1  0.00116554  0.09591009  0.14056663  1
  O  O59  1  0.50116554  0.90408991  0.35943337  1
  O  O60  1  0.86212118  0.32903456  0.66958482  1
  O  O61  1  0.36212118  0.67096544  0.83041518  1
  O  O62  1  0.63787882  0.82903456  0.83041518  1
  O  O63  1  0.13787882  0.17096544  0.66958482  1
  O  O64  1  0.13787882  0.67096544  0.33041518  1
  O  O65  1  0.63787882  0.32903456  0.16958482  1
  O  O66  1  0.36212118  0.17096544  0.16958482  1
  O  O67  1  0.86212118  0.82903456  0.33041518  1
  O  O68  1  0.80082516  0.06405600  0.75118275  1
  O  O69  1  0.30082516  0.93594400  0.74881725  1
  O  O70  1  0.69917484  0.56405600  0.74881725  1
  O  O71  1  0.19917484  0.43594400  0.75118275  1
  O  O72  1  0.19917484  0.93594400  0.24881725  1
  O  O73  1  0.69917484  0.06405600  0.25118275  1
  O  O74  1  0.30082516  0.43594400  0.25118275  1
  O  O75  1  0.80082516  0.56405600  0.24881725  1
  O  O76  1  0.81034982  0.34651389  0.85083433  1
  O  O77  1  0.31034982  0.65348611  0.64916567  1
  O  O78  1  0.68965018  0.84651389  0.64916567  1
  O  O79  1  0.18965018  0.15348611  0.85083433  1
  O  O80  1  0.18965018  0.65348611  0.14916567  1
  O  O81  1  0.68965018  0.34651389  0.35083433  1
  O  O82  1  0.31034982  0.15348611  0.35083433  1
  O  O83  1  0.81034982  0.84651389  0.14916567  1
  O  O84  1  0.70677770  0.08793656  0.91159055  1
  O  O85  1  0.20677770  0.91206344  0.58840945  1
  O  O86  1  0.79322230  0.58793656  0.58840945  1
  O  O87  1  0.29322230  0.41206344  0.91159055  1
  O  O88  1  0.29322230  0.91206344  0.08840945  1
  O  O89  1  0.79322230  0.08793656  0.41159055  1
  O  O90  1  0.20677770  0.41206344  0.41159055  1
  O  O91  1  0.70677770  0.58793656  0.08840945  1
  O  O92  1  0.50000000  0.75000000  0.51568004  1
  O  O93  1  0.00000000  0.25000000  0.98431996  1
  O  O94  1  0.50000000  0.25000000  0.48431996  1
  O  O95  1  0.00000000  0.75000000  0.01568004  1
",Li2Ge7O15,12.5834025,273
mp-554842,"# generated using pymatgen
data_Cs5Si3AgO9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.62041900
_cell_length_b   9.89331500
_cell_length_c   11.79701685
_cell_angle_alpha   86.18101321
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs5Si3AgO9
_chemical_formula_sum   'Cs10 Si6 Ag2 O18'
_cell_volume   770.96394612
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.25000000  0.33919900  0.06338700  1
  Cs  Cs1  1  0.75000000  0.95197500  0.61856600  1
  Cs  Cs2  1  0.25000000  0.22269800  0.68577300  1
  Cs  Cs3  1  0.25000000  0.04802500  0.38143400  1
  Cs  Cs4  1  0.25000000  0.72583300  0.14194200  1
  Cs  Cs5  1  0.25000000  0.46117200  0.39823200  1
  Cs  Cs6  1  0.75000000  0.66080100  0.93661300  1
  Cs  Cs7  1  0.75000000  0.53882800  0.60176800  1
  Cs  Cs8  1  0.75000000  0.27416700  0.85805800  1
  Cs  Cs9  1  0.75000000  0.77730200  0.31422700  1
  Si  Si10  1  0.25000000  0.86984900  0.79935300  1
  Si  Si11  1  0.75000000  0.13015100  0.20064700  1
  Si  Si12  1  0.25000000  0.55726300  0.79046200  1
  Si  Si13  1  0.75000000  0.25368000  0.43515300  1
  Si  Si14  1  0.25000000  0.74632000  0.56484700  1
  Si  Si15  1  0.75000000  0.44273700  0.20953800  1
  Ag  Ag16  1  0.00000000  0.00000000  0.00000000  1
  Ag  Ag17  1  0.50000000  0.00000000  0.00000000  1
  O  O18  1  0.45664600  0.75699200  0.49207800  1
  O  O19  1  0.95769600  0.05297200  0.16486700  1
  O  O20  1  0.45769600  0.94702800  0.83513300  1
  O  O21  1  0.45579900  0.47617300  0.82490700  1
  O  O22  1  0.95664600  0.24300800  0.50792200  1
  O  O23  1  0.04420100  0.47617300  0.82490700  1
  O  O24  1  0.25000000  0.70928300  0.85259300  1
  O  O25  1  0.75000000  0.12910000  0.34140200  1
  O  O26  1  0.75000000  0.39876600  0.35023900  1
  O  O27  1  0.04230400  0.94702800  0.83513300  1
  O  O28  1  0.25000000  0.60123400  0.64976100  1
  O  O29  1  0.54230400  0.05297200  0.16486700  1
  O  O30  1  0.75000000  0.29071700  0.14740700  1
  O  O31  1  0.54335400  0.24300800  0.50792200  1
  O  O32  1  0.54420100  0.52382700  0.17509300  1
  O  O33  1  0.04335400  0.75699200  0.49207800  1
  O  O34  1  0.95579900  0.52382700  0.17509300  1
  O  O35  1  0.25000000  0.87090000  0.65859800  1
",Cs5Si3AgO9,21.41566517,273
mp-641509,"# generated using pymatgen
data_In9Ni13
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.67179034
_cell_length_b   6.67179034
_cell_length_c   8.99380733
_cell_angle_alpha   63.25269097
_cell_angle_beta   63.25269097
_cell_angle_gamma   77.59859254
_symmetry_Int_Tables_number   1
_chemical_formula_structural   In9Ni13
_chemical_formula_sum   'In9 Ni13'
_cell_volume   319.21291677
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.25258406  0.82966230  0.19028087  1
  In  In1  1  0.17531954  0.17531954  0.38277327  1
  In  In2  1  0.28942882  0.28942882  0.66603333  1
  In  In3  1  0.82966230  0.25258406  0.19028087  1
  In  In4  1  0.71057118  0.71057118  0.33396667  1
  In  In5  1  0.50000000  0.50000000  -0.00000000  1
  In  In6  1  0.74741594  0.17033770  0.80971913  1
  In  In7  1  0.17033770  0.74741594  0.80971913  1
  In  In8  1  0.82468046  0.82468046  0.61722673  1
  Ni  Ni9  1  0.54647034  0.06316383  0.15994627  1
  Ni  Ni10  1  0.50000000  0.00000000  0.50000000  1
  Ni  Ni11  1  0.54617092  0.54617092  0.67634999  1
  Ni  Ni12  1  0.06316383  0.54647034  0.15994627  1
  Ni  Ni13  1  0.45382908  0.45382908  0.32365001  1
  Ni  Ni14  1  0.26412033  0.73587967  0.50000000  1
  Ni  Ni15  1  0.25972321  0.25972321  0.98049606  1
  Ni  Ni16  1  0.93683617  0.45352966  0.84005373  1
  Ni  Ni17  1  0.74027679  0.74027679  0.01950394  1
  Ni  Ni18  1  0.45352966  0.93683617  0.84005373  1
  Ni  Ni19  1  0.73587967  0.26412033  0.50000000  1
  Ni  Ni20  1  0.00000000  0.00000000  -0.00000000  1
  Ni  Ni21  1  0.00000000  0.50000000  0.50000000  1
",In9Ni13,14.50967803,273
mp-1193896,"# generated using pymatgen
data_Ba2H4Pd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.81347600
_cell_length_b   8.14331500
_cell_length_c   10.28488900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2H4Pd
_chemical_formula_sum   'Ba8 H16 Pd4'
_cell_volume   486.89658368
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.25000000  0.85329300  0.40540500  1
  Ba  Ba1  1  0.25000000  0.35329300  0.09459500  1
  Ba  Ba2  1  0.75000000  0.14670700  0.59459500  1
  Ba  Ba3  1  0.75000000  0.64670700  0.90540500  1
  Ba  Ba4  1  0.25000000  0.01090000  0.83266000  1
  Ba  Ba5  1  0.25000000  0.51090000  0.66734000  1
  Ba  Ba6  1  0.75000000  0.98910000  0.16734000  1
  Ba  Ba7  1  0.75000000  0.48910000  0.33266000  1
  H  H8  1  0.25000000  0.17460000  0.57957500  1
  H  H9  1  0.25000000  0.67460000  0.92042500  1
  H  H10  1  0.75000000  0.82540000  0.42042500  1
  H  H11  1  0.75000000  0.32540000  0.07957500  1
  H  H12  1  0.25000000  0.47601300  0.39234700  1
  H  H13  1  0.25000000  0.97601300  0.10765300  1
  H  H14  1  0.75000000  0.52398700  0.60765300  1
  H  H15  1  0.75000000  0.02398700  0.89234700  1
  H  H16  1  0.99398700  0.17926200  0.34445300  1
  H  H17  1  0.50601300  0.67926200  0.15554700  1
  H  H18  1  0.49398700  0.82073800  0.65554700  1
  H  H19  1  0.00601300  0.32073800  0.84445300  1
  H  H20  1  0.00601300  0.82073800  0.65554700  1
  H  H21  1  0.49398700  0.32073800  0.84445300  1
  H  H22  1  0.50601300  0.17926200  0.34445300  1
  H  H23  1  0.99398700  0.67926200  0.15554700  1
  Pd  Pd24  1  0.25000000  0.25838500  0.41748000  1
  Pd  Pd25  1  0.25000000  0.75838500  0.08252000  1
  Pd  Pd26  1  0.75000000  0.74161500  0.58252000  1
  Pd  Pd27  1  0.75000000  0.24161500  0.91748000  1
",Ba2H4Pd,17.3891637,273
mp-24130,"# generated using pymatgen
data_CaP2(HO)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.06559268
_cell_length_b   8.06559268
_cell_length_c   6.57882737
_cell_angle_alpha   78.94631260
_cell_angle_beta   78.94631260
_cell_angle_gamma   41.29726553
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaP2(HO)4
_chemical_formula_sum   'Ca2 P4 H8 O8'
_cell_volume   276.45836557
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.16656287  0.83343713  0.75000000  1
  Ca  Ca1  1  0.83343713  0.16656287  0.25000000  1
  P  P2  1  0.54060230  0.17529996  0.71994885  1
  P  P3  1  0.82470004  0.45939770  0.78005115  1
  P  P4  1  0.45939770  0.82470004  0.28005115  1
  P  P5  1  0.17529996  0.54060230  0.21994885  1
  H  H6  1  0.46561424  0.09436794  0.63425513  1
  H  H7  1  0.90563206  0.53438576  0.86574487  1
  H  H8  1  0.53438576  0.90563206  0.36574487  1
  H  H9  1  0.09436794  0.46561424  0.13425513  1
  H  H10  1  0.59705386  0.05762593  0.92214198  1
  H  H11  1  0.94237407  0.40294614  0.57785802  1
  H  H12  1  0.40294614  0.94237407  0.07785802  1
  H  H13  1  0.05762593  0.59705386  0.42214198  1
  O  O14  1  0.93657432  0.21395130  0.89537892  1
  O  O15  1  0.78604870  0.06342568  0.60462108  1
  O  O16  1  0.45552619  0.32348194  0.23046314  1
  O  O17  1  0.67651806  0.54447381  0.26953686  1
  O  O18  1  0.54447381  0.67651806  0.76953686  1
  O  O19  1  0.32348194  0.45552619  0.73046314  1
  O  O20  1  0.21395130  0.93657432  0.39537892  1
  O  O21  1  0.06342568  0.78604870  0.10462108  1
",CaP2(HO)4,12.56628934,273
mp-570593,"# generated using pymatgen
data_RbAg2(AsSe2)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.73928545
_cell_length_b   10.02875983
_cell_length_c   20.05894407
_cell_angle_alpha   60.25518807
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RbAg2(AsSe2)3
_chemical_formula_sum   'Rb4 Ag8 As12 Se24'
_cell_volume   1351.75450469
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Rb  Rb0  1  0.17792566  0.16135242  0.83217295  1
  Rb  Rb1  1  0.82207434  0.83864758  0.16782705  1
  Rb  Rb2  1  0.32207434  0.16135242  0.33217295  1
  Rb  Rb3  1  0.67792566  0.83864758  0.66782705  1
  Ag  Ag4  1  0.46736438  0.45073855  0.08043136  1
  Ag  Ag5  1  0.48702831  0.35254423  0.49970967  1
  Ag  Ag6  1  0.98702831  0.64745577  0.00029033  1
  Ag  Ag7  1  0.53263562  0.54926145  0.91956864  1
  Ag  Ag8  1  0.96736438  0.54926145  0.41956864  1
  Ag  Ag9  1  0.51297169  0.64745577  0.50029033  1
  Ag  Ag10  1  0.01297169  0.35254423  -0.00029033  1
  Ag  Ag11  1  0.03263562  0.45073855  0.58043136  1
  As  As12  1  0.85018900  0.95334599  0.35395881  1
  As  As13  1  0.37138394  0.65470386  0.27651886  1
  As  As14  1  0.61891430  0.21316085  0.91878422  1
  As  As15  1  0.11891430  0.78683915  0.58121578  1
  As  As16  1  0.14981100  0.04665401  0.64604119  1
  As  As17  1  0.88108570  0.21316085  0.41878422  1
  As  As18  1  0.64981100  0.95334599  0.85395881  1
  As  As19  1  0.87138394  0.34529614  0.22348114  1
  As  As20  1  0.38108570  0.78683915  0.08121578  1
  As  As21  1  0.35018900  0.04665401  0.14604119  1
  As  As22  1  0.12861606  0.65470386  0.77651886  1
  As  As23  1  0.62861606  0.34529614  0.72348114  1
  Se  Se24  1  0.24538748  0.45379936  0.89190687  1
  Se  Se25  1  0.25461252  0.45379936  0.39190687  1
  Se  Se26  1  0.80197428  0.13317629  0.73567473  1
  Se  Se27  1  0.30197428  0.86682371  0.76432527  1
  Se  Se28  1  0.72108383  0.41004429  0.31050354  1
  Se  Se29  1  0.27891617  0.58995571  0.68949646  1
  Se  Se30  1  0.30459377  0.73461881  0.98232679  1
  Se  Se31  1  0.70538091  0.73124894  0.37207528  1
  Se  Se32  1  0.77891617  0.41004429  0.81050354  1
  Se  Se33  1  0.29461909  0.26875106  0.62792472  1
  Se  Se34  1  0.20538091  0.26875106  0.12792472  1
  Se  Se35  1  0.80459377  0.26538119  0.51767321  1
  Se  Se36  1  0.79461909  0.73124894  0.87207528  1
  Se  Se37  1  0.69802572  0.13317629  0.23567473  1
  Se  Se38  1  0.20210444  0.01214953  0.04866853  1
  Se  Se39  1  0.79789556  0.98785047  0.95133147  1
  Se  Se40  1  0.29789556  0.01214953  0.54866853  1
  Se  Se41  1  0.69540623  0.26538119  0.01767321  1
  Se  Se42  1  0.22108383  0.58995571  0.18949646  1
  Se  Se43  1  0.70210444  0.98785047  0.45133147  1
  Se  Se44  1  0.19540623  0.73461881  0.48232679  1
  Se  Se45  1  0.74538748  0.54620064  0.60809313  1
  Se  Se46  1  0.19802572  0.86682371  0.26432527  1
  Se  Se47  1  0.75461252  0.54620064  0.10809313  1
",RbAg2(AsSe2)3,28.16155218,273
mp-1220458,"# generated using pymatgen
data_NbVSi4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   13.01680700
_cell_length_b   4.68994100
_cell_length_c   4.71008890
_cell_angle_alpha   60.32921376
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbVSi4
_chemical_formula_sum   'Nb3 V3 Si12'
_cell_volume   249.84045462
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.08198100  0.50000000  0.50000000  1
  Nb  Nb1  1  0.58536900  0.50000000  0.50000000  1
  Nb  Nb2  1  0.24944800  0.00000000  0.50000000  1
  V  V3  1  0.74958700  0.00000000  0.50000000  1
  V  V4  1  0.41807000  0.50000000  0.00000000  1
  V  V5  1  0.91558400  0.50000000  0.00000000  1
  Si  Si6  1  0.07899400  0.83446700  0.84426400  1
  Si  Si7  1  0.58436600  0.83618100  0.83707500  1
  Si  Si8  1  0.25311400  0.32370500  0.84328400  1
  Si  Si9  1  0.75315500  0.32099800  0.84590800  1
  Si  Si10  1  0.41787100  0.84206700  0.31561500  1
  Si  Si11  1  0.91248100  0.84497300  0.32268400  1
  Si  Si12  1  0.07899400  0.16553300  0.15573600  1
  Si  Si13  1  0.58436600  0.16381900  0.16292500  1
  Si  Si14  1  0.25311400  0.67629500  0.15671600  1
  Si  Si15  1  0.75315500  0.67900200  0.15409200  1
  Si  Si16  1  0.41787100  0.15793300  0.68438500  1
  Si  Si17  1  0.91248100  0.15502700  0.67731600  1
",NbVSi4,13.88002526,273
mp-553972,"# generated using pymatgen
data_CuCSN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.65889300
_cell_length_b   7.22270300
_cell_length_c   11.00475300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CuCSN
_chemical_formula_sum   'Cu8 C8 S8 N8'
_cell_volume   529.27586744
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.63631600  0.84391000  0.68409500  1
  Cu  Cu1  1  0.63631600  0.34391000  0.81590500  1
  Cu  Cu2  1  0.86368400  0.34391000  0.31590500  1
  Cu  Cu3  1  0.36368400  0.15609000  0.31590500  1
  Cu  Cu4  1  0.13631600  0.15609000  0.81590500  1
  Cu  Cu5  1  0.36368400  0.65609000  0.18409500  1
  Cu  Cu6  1  0.13631600  0.65609000  0.68409500  1
  Cu  Cu7  1  0.86368400  0.84391000  0.18409500  1
  C  C8  1  0.63971600  0.20457000  0.07818100  1
  C  C9  1  0.86028400  0.20457000  0.57818100  1
  C  C10  1  0.86028400  0.70457000  0.92181900  1
  C  C11  1  0.13971600  0.79543000  0.42181900  1
  C  C12  1  0.63971600  0.70457000  0.42181900  1
  C  C13  1  0.36028400  0.79543000  0.92181900  1
  C  C14  1  0.36028400  0.29543000  0.57818100  1
  C  C15  1  0.13971600  0.29543000  0.07818100  1
  S  S16  1  0.17381200  0.38247800  0.21646600  1
  S  S17  1  0.82618800  0.61752200  0.78353400  1
  S  S18  1  0.67381200  0.11752200  0.21646600  1
  S  S19  1  0.82618800  0.11752200  0.71646600  1
  S  S20  1  0.32618800  0.88247800  0.78353400  1
  S  S21  1  0.67381200  0.61752200  0.28353400  1
  S  S22  1  0.32618800  0.38247800  0.71646600  1
  S  S23  1  0.17381200  0.88247800  0.28353400  1
  N  N24  1  0.38202500  0.73190800  0.01937100  1
  N  N25  1  0.88202500  0.76809200  0.01937100  1
  N  N26  1  0.88202500  0.26809200  0.48062900  1
  N  N27  1  0.61797500  0.26809200  0.98062900  1
  N  N28  1  0.11797500  0.73190800  0.51937100  1
  N  N29  1  0.61797500  0.76809200  0.51937100  1
  N  N30  1  0.38202500  0.23190800  0.48062900  1
  N  N31  1  0.11797500  0.23190800  0.98062900  1
",CuCSN,16.53987086,273
mp-1076800,"# generated using pymatgen
data_BaCuO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00369100
_cell_length_b   4.00369100
_cell_length_c   4.00369100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   BaCuO3
_chemical_formula_sum   'Ba1 Cu1 O3'
_cell_volume   64.17733153
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.50000000  0.50000000  0.50000000  1
  Cu  Cu1  1  0.00000000  0.00000000  0.00000000  1
  O  O2  1  0.50000000  0.00000000  0.00000000  1
  O  O3  1  0.00000000  0.50000000  0.00000000  1
  O  O4  1  0.00000000  0.00000000  0.50000000  1
",BaCuO3,12.83546631,273
mp-712,"# generated using pymatgen
data_YCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.45811539
_cell_length_b   3.45811539
_cell_length_c   3.45811539
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YCu
_chemical_formula_sum   'Y1 Cu1'
_cell_volume   41.35408747
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.00000000  0.00000000  0.00000000  1
  Cu  Cu1  1  0.50000000  0.50000000  0.50000000  1
",YCu,20.67704373,273
